NAME,GEOID,County,Popup_Allocated,Popup_Spent,Popup_Percent,Expend_Total_SB3044_HB 1797,Allocated_Total_SB3044_HB 1797,Expend_prcnt_SB3044_HB 1797,Expend_HB1792_SB3044,Allocated_HB1792_SB3044,Expend_prcnt_HB1792_SB3044,Expend_HB1788_HB1797,Allocated_HB1788_HB1797,Expend_prcnt_HB1788_HB1797,Teaching_Fall20,Teaching_Spring21,Teaching_Fall21
Scott County School District,2803900,Scott County,"2,091,654.28","2,068,511.31",98.9,2068511.31,2091654.28,0.9889,1141849.00,1136582.00,1.0046,926662.31,955072.28,0.9703,Hybrid,Traditional,Traditional
Senatobia Municipal School District,2803930,Tate County,"603,986.76","582,218.76",96.4,582218.76,603986.76,0.9640,480289.00,502057.00,0.9566,101929.76,101929.76,1.0000,Hybrid,Traditional,Traditional
Simpson County School District,2803990,Simpson County,"1,845,513.48","1,811,035.03",98.1,1811035.03,1845513.48,0.9813,1152235.00,1171311.00,0.9837,658800.03,674202.48,0.9772,Virtual,Hybrid,Traditional
Smith County School District,2804020,Smith County,"1,359,670.12","876,322.00",64.5,876322.00,1359670.12,0.6445,876322.00,891286.00,0.9832,-,468384.12,0.0000,Hybrid,Hybrid,Traditional
South Delta School District,2803960,Sharkey County,"4,364,62.45","429,766.45",98.5,429766.45,436462.45,0.9847,256393.00,262639.00,0.9762,173373.45,173823.45,0.9974,Hybrid,Hybrid,N/A
South Panola School District,2804050,Panola County,"1,572,580.05","1,563,587.90",99.4,1563587.90,1572580.05,0.9943,1198697.00,1198697.00,1.0000,364890.90,373883.05,0.9759,Hybrid,Hybrid,Traditional
South Pike School District,2804080,Pike County,"882,347.01","869,809.01",98.6,869809.01,882347.01,0.9858,575588.00,588126.00,0.9787,294221.01,294221.01,1.0000,Virtual,Hybrid,Traditional
South Tippah School District,2804110,Tippah County,"1,035,070.04","1,034,414.10",99.9,1034414.10,1035070.04,0.9994,736172.00,736827.00,0.9991,298242.10,298243.04,1.0000,Hybrid,Traditional,Traditional
Starville Oktibbeha Consolidated School District,2800189,Oktibbeha County,"1,972,553.96","2,015,575.50",102.2,2015575.50,1972553.96,1.0218,1576028.98,1512721.00,1.0419,439546.52,459832.96,0.9559,Hybrid,Hybrid,Traditional
Stone County School District,2804170,Stone County,"1,002,456.77","951,183.00",94.9,951183.00,1002456.77,0.9489,808183.00,859008.00,0.9408,143000.00,143448.77,0.9969,Hybrid,Traditional,Traditional
Sunflower County Consolidated School District,2800187,Sunflower County,"1,800,123.54","1,735,577.00",96.4,1735577.00,1800123.54,0.9641,1370962.00,1427598.00,0.9603,364615.00,372525.54,0.9788,Virtual,Virtual,Traditional
Tate County School District,2804230,Tate County,"959,801.1","955,580.22",99.6,955580.22,959801.10,0.9956,642170.22,642800.00,0.9990,313410.00,317001.10,0.9887,Traditional,Virtual,Traditional
Tishomingo County Special Municipal Separate School District,2804260,Tishomingo County,"1,446,749.21","1,460,861.00",101.0,1460861.00,1446749.21,1.0098,913731.00,899598.00,1.0157,547130.00,547151.21,1.0000,Hybrid,Hybrid,Traditional
Tunica County School District,2804290,Tunica County,"914,928.64","894,957.54",97.8,894957.54,914928.64,0.9782,613015.90,632987.00,0.9684,281941.64,281941.64,1.0000,Virtual,Hybrid,Traditional
Tupelo Public School District,2804320,Lee County,"2,508,980.98","2,351,089.98",93.7,2351089.98,2508980.98,0.9371,1898767.00,2056658.00,0.9232,452322.98,452322.98,1.0000,Hybrid,Hybrid,Traditional
Union County School District,2804350,Union County,"1,820,315.58","1,810,526.03",99.5,1810526.03,1820315.58,0.9946,856525.75,862009.00,0.9936,954000.28,958306.58,0.9955,Traditional,Traditional,Traditional
Union Public School District,2804380,Newton County,"388,962.45","388,475.45",99.9,388475.45,388962.45,0.9987,279860.00,280347.00,0.9983,108615.45,108615.45,1.0000,Hybrid,Traditional,Traditional
Vicksburg-Warren School District,2804470,Warren County,"3,043,182.83","2,875,657.01",94.5,2875657.01,3043182.83,0.9450,2353549.02,2496488.00,0.9427,522107.99,546694.83,0.9550,Hybrid,Traditional,Traditional
Walthall County School District,2804440,Walthall County,"1,001,673.76","1,000,020.60",99.8,1000020.60,1001673.76,0.9983,529364.00,530820.00,0.9973,470656.60,470853.76,0.9996,Hybrid,Hybrid,Traditional
Water Valley School District,2804500,Yalobusha County,"476,591.59","328,831.00",69.0,328831.00,476591.59,0.6900,328831.00,333259.00,0.9867,-,143332.59,0.0000,Hybrid,Traditional,Traditional
Wayne County School District,2804530,Wayne County,"1,487,174.35","769,173.41",51.7,769173.41,1487174.35,0.5172,756627.00,892113.00,0.8481,12546.41,595061.35,0.0211,Hybrid,Traditional,Traditional
Webster County School District,2804560,Webster County,"766,223.10","762,901.57",99.6,762901.57,766223.10,0.9957,498626.00,498636.00,1.0000,264275.57,267587.10,0.9876,Traditional,Traditional,Traditional
West Bolivar Consolidated School District,2800185,Bolivar County,"631,657.70","604,548.00",95.7,604548.00,631657.70,0.9571,355553.00,360398.00,0.9866,248995.00,271259.70,0.9179,Hybrid,Hybrid,Traditional
West Jasper Consolidated School District,2804590,Jasper County,"879,853.51","869,066.51",98.8,869066.51,879853.51,0.9877,477943.00,488730.00,0.9779,391123.51,391123.51,1.0000,Hybrid,Hybrid,Traditional
West Point School District,2800191,Clay County,"1,509,543.00","1,502,017.00",99.5,1502017.00,1509543.00,0.9950,998351.00,1005877.00,0.9925,503666.00,503666.00,1.0000,Hybrid,Hybrid,Traditional
West Tallahatchie Consolidated School District,2804650,Tallahatchie County,"383,369.98","360,020.80",93.9,360020.80,383369.98,0.9391,217048.00,240363.00,0.9030,142972.80,143006.98,0.9998,Virtual,Virtual,Traditional
Western Line School District,2804680,Washington County,"911,989.8","890,868.80",97.7,890868.80,911989.80,0.9768,655652.00,667693.00,0.9820,235216.80,244296.80,0.9628,Virtual,Traditional,Traditional
Wilkinson County School District,2804710,Wilkinson County,"534,516.13","441,751.00",82.6,441751.00,534516.13,0.8265,363098.00,371311.00,0.9779,78653.00,163205.13,0.4819,Hybrid,Traditional,Hybrid
Winona-Montgomery Consolidated School District,2800196,Montgomery County,"537,521.56","408,625.00",76.0,408625.00,537521.56,0.7602,408625.00,415875.00,0.9826,-,121646.56,0.0000,Hybrid,Hybrid,Traditional
Yazoo City Municipal School District,2804770,Yazoo County,"957,401.23","936,755.57",97.8,936755.57,957401.23,0.9784,790802.51,808988.00,0.9775,145953.06,148413.23,0.9834,Hybrid,Hybrid,Traditional
Yazoo County School District,2804800,Yazoo County,"838,734.08","833,209.08",99.3,833209.08,838734.08,0.9934,449186.00,454711.00,0.9878,384023.08,384023.08,1.0000,Hybrid,Hybrid,Traditional
